reamostragem,media_valor,pct_medio,pct_mediano,mq_valor_causa,pct_por_sub,mq_pct_p,mq_valor_ce,mq_pct_dg,mq_pct_dgu,ridge,bagging_dg,floresta
736,1649.28,928.76,925.49,932.70,931.22,922.79,925.24,960.00,1048.26,939.88,957.24,950.06
737,1717.43,892.55,908.94,902.51,901.41,885.47,890.20,937.87,1085.42,986.09,932.98,880.99
738,1651.62,918.89,928.68,918.60,924.24,909.51,912.12,973.27,1123.69,1016.34,967.64,957.56
739,1746.24,987.70,1002.91,984.49,987.66,987.45,996.67,993.53,1103.31,1031.03,994.13,968.40
740,1611.34,934.24,939.79,935.80,945.81,938.00,943.47,949.05,1032.21,936.22,950.77,955.49
741,1593.44,963.22,954.39,962.00,969.40,957.02,953.71,1002.69,1248.63,1089.74,1003.47,987.18
742,1665.57,931.74,947.55,930.94,942.96,928.38,921.67,927.79,1001.45,923.58,929.44,964.76
743,1739.52,990.54,1058.57,1010.66,998.97,994.71,1015.44,1044.98,1052.08,995.72,1047.24,1014.23
744,1624.28,960.77,970.80,963.03,961.45,954.94,959.44,966.00,1166.74,1058.12,963.74,983.59
745,1611.24,954.29,968.66,984.53,967.67,957.68,983.85,999.24,1048.40,995.13,995.16,1013.98
746,1664.58,903.47,911.75,906.07,907.40,893.47,896.36,900.68,1040.19,919.85,902.55,894.41
747,1711.58,999.66,1032.62,1021.82,1010.42,996.22,1016.01,1027.54,1128.62,1029.56,1026.59,1042.97
748,1645.30,1004.51,1040.28,1003.81,1008.07,1004.56,1001.82,1063.05,1127.37,1050.42,1061.93,1040.67
749,1812.21,1005.25,1062.15,1001.33,1007.01,1004.24,994.41,1014.86,1120.68,1044.18,1013.93,993.37
750,1696.82,1011.18,1055.90,1023.44,1016.37,1003.59,1017.47,1009.44,1078.60,1012.84,1014.27,994.12
751,1693.63,1029.59,1054.26,1028.18,1036.74,1036.55,1046.87,1065.21,1129.55,1060.87,1067.51,1061.91
752,1562.25,1020.50,1019.93,1043.73,1029.79,1018.56,1042.44,1029.84,1170.23,1060.84,1027.63,1012.47
753,1825.68,1026.09,1040.22,1033.17,1026.51,1017.84,1025.22,1036.48,1204.79,1091.12,1037.84,1043.42
754,1534.05,944.83,929.07,954.74,941.68,940.40,953.50,946.27,1152.90,1049.92,943.62,948.77
755,1579.03,972.41,972.56,975.60,1002.69,965.90,970.38,1013.02,1092.61,1020.41,1016.33,982.06
756,1702.13,980.95,980.25,983.48,980.86,988.99,989.63,1003.94,1138.70,1058.22,1004.84,1028.75
757,1726.00,1024.77,1066.92,1021.84,1018.22,1028.15,1025.60,1042.24,1053.67,1015.73,1040.16,999.66
758,1679.76,1019.18,1030.85,1018.65,1019.13,1015.52,1014.10,1028.88,1076.98,1016.06,1029.62,1015.30
759,1535.95,991.54,986.80,999.85,994.74,1010.94,1006.24,1058.79,1091.88,1033.25,1058.65,1037.70
760,1626.53,950.16,948.16,949.16,950.18,940.93,940.21,976.71,981.18,947.10,976.33,964.38
761,1705.02,978.84,997.91,974.73,988.99,972.21,969.53,1065.38,1139.90,1064.55,1070.22,1024.41
762,1772.72,1003.56,1020.33,1000.65,1003.41,1049.51,1086.69,1061.63,1174.65,1106.34,1064.59,1040.54
763,1608.94,1039.99,1047.32,1046.33,1048.65,1059.07,1066.84,1068.13,1147.59,1057.34,1069.92,1032.32
764,1806.71,1005.35,1003.97,1006.54,1005.30,1009.90,1008.96,994.78,1110.01,1029.56,996.19,1002.08
765,1698.73,1014.85,1034.90,1017.84,1014.70,1019.29,1024.28,1112.21,1218.77,1116.73,1110.74,1094.41
766,1818.92,1057.50,1063.83,1062.87,1058.16,1073.65,1063.40,1100.81,1168.51,1096.88,1098.91,1062.17
