decil,n,previsto_medio,observado_medio,desvio
1,5972,117.8019,104.6105,-13.1914
2,5972,236.8819,241.4881,4.6061
3,5972,373.7814,406.9895,33.2081
4,5972,525.1143,497.8010,-27.3133
5,5972,783.0353,798.2992,15.2639
6,5972,1374.4314,1379.9362,5.5048
7,5972,2712.2020,2716.5275,4.3255
8,5972,5299.4075,5343.5887,44.1812
9,5972,8145.8935,8017.1387,-128.7548
10,5972,12533.8391,12595.3877,61.5486
