golpe,n,taxa_perda,causa_media,condenacao_media,condenacao_media_se_perder,severidade_se_perder
0,18317,0.1680,15004.1803,1648.7560,9814.8402,0.6592
1,41403,0.3601,14970.9330,3900.9610,10832.4272,0.7214
